"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Costa Rica","CRI","Diabetes prevalence (% of population ages 20 to 79)","SH.STA.DIAB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.78",
"Costa Rica","CRI","Low-birthweight babies (% of births)","SH.STA.BRTW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.5","","","7.03","","7.1","","6.6","6.5","","6.65","7.2","7.3","","","","","",
"Costa Rica","CRI","Births attended by skilled health staff (% of total)","SH.STA.BRTC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","97","","","","","","98","97","","","","","98","98.2","96.6","98","98.5","98.2","98.5","98.5","98.6","98.7","99.1","99.1","95.3","98.4","98.9","99","99.2","90","","",
"Costa Rica","CRI","Exclusive breastfeeding (% of children under 6 months)","SH.STA.BFED.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","","","","","","","","","","","","18.7","","","","","32.540791","","","","","","",
"Costa Rica","CRI","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.1739528746349","94.4187384276815","94.6569042510524","94.8882877105186","95.1130023714374","95.3308105916518","95.5420330862091","95.7466936911034","95.9448330668263","96.1364084536927","96.3217948952113","96.5009664561941","96.6728355216856","96.8377680245041","96.9961695044939","97.1485496011427","","",
"Costa Rica","CRI","People using at least basic sanitation services, urban  (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.0016151902358","97.0693644430516","97.1371136958674","97.2048629486833","97.2726122014992","97.340361454315","97.4081107071308","97.4758599599467","97.5436092127625","97.6113584655784","97.6791077183942","97.7468569712101","97.8146062240259","97.8823554768418","97.9501047296577","98.0178539824735","","",
"Costa Rica","CRI","People using at least basic sanitation services, rural (% of rural population)","SH.STA.BASS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.0966255303963","90.3746810005995","90.6527364708027","90.930791941006","91.2088474112092","91.4869028814125","91.7649583516158","92.043013821819","92.3210692920223","92.5991247622255","92.8771802324288","93.155235702632","93.4332911728352","93.7113466430384","93.9894021132417","94.2674575834449","","",
"Costa Rica","CRI","ARI treatment (% of children under 5 taken to a health provider)","SH.STA.ARIC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.2","","","","","","",
"Costa Rica","CRI","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","","95","","","","","","70.6","69.6","","","","","91.7","","91.7","","89.9","","","98.1","","","","","","",
"Costa Rica","CRI","Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)","SH.STA.AIRP.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3","",
